time,SP,PV,CO
918,30,31.046,5.9912
919,30,28.663,11.33
920,30,28.057,10.025
921,30,30.033,5.183
922,30,31.17,4.9091
923,30,30.374,7.8646
924,30,30.409,7.2352
925,30,31.102,5.6336
926,30,27.977,12.699
927,30,31.469,3.1642
928,30,29.709,9.4616
929,30,31.519,4.1151
930,30,29.732,9.1959
931,30,29.088,9.3994
932,30,30.414,5.6576
933,30,29.74,7.94
934,30,31.237,5.0949
935,30,30.394,7.4158
936,30,30.312,7.6698
937,30,30.026,7.5922
938,30,30.041,7.5577
939,30,29.511,8.6966
940,30,29.825,7.1541
941,30,30.146,6.6828
942,30,28.877,9.5541
943,30,30.41,5.2893
944,30,29.266,9.0507
945,30,30.668,5.3131
946,30,28.698,10.53
947,30,31.004,4.3284
948,30,28.484,11.259
949,30,29.312,7.4403
950,30,30.984,4.5949
951,30,30.976,6.0042
952,30,29.384,10.06
953,30,29.609,7.7655
954,30,30.129,6.9496
955,30,30.442,6.2793
956,30,31.464,5.2645
957,30,30.601,7.9004
958,30,28.923,10.437
959,30,30.688,4.8978
960,30,30.175,7.7589
961,30,28.727,10.345
962,30,29.116,7.9939
963,30,30.688,4.5285
964,30,28.228,11.098
965,30,28.275,9.2494
966,30,30.893,3.7642
967,30,29.656,8.268
968,30,29.779,7.6754
969,30,30.943,5.6165
970,30,30.64,7.3208
971,30,29.387,9.4776
972,30,31.45,4.4934
973,30,31.062,6.9358
974,30,28.883,10.964
975,30,28.66,9.4476
976,30,30.615,4.5562
977,30,30.092,7.2121
978,30,29.606,8.3807
979,30,30.18,6.8671
980,30,27.973,11.38
981,30,28.919,7.5451
982,30,31.015,4.1039
983,30,29.949,8.5728
984,30,30.406,6.6763
985,30,30.098,7.7279
986,30,28.665,10.561
987,30,30.734,4.7679
988,30,30.042,8.3124
989,30,30.451,6.8677
990,30,28.979,9.7493
991,30,28.981,8.7785
992,30,31.254,3.6269
993,30,31.544,5.3378
994,30,30.882,7.9498
995,30,28.576,11.583
996,30,30.69,5.0469
997,30,30.094,7.7463
998,30,30.681,6.5498
999,30,31.923,4.5566
1000,30,29.855,9.6015
